5	6	8	11	15	20	26	33	41	50	60	71	83	96	110	125	141	158	176	195	
7	9	12	16	21	27	34	42	51	61	72	84	97	111	126	142	159	177	196	-1	
10	13	17	22	28	35	43	52	62	73	85	98	112	127	143	160	178	197	-1	-1	
14	18	23	29	36	44	53	63	74	86	99	113	128	144	161	179	198	-1	-1	-1	
19	24	30	37	45	54	64	75	87	100	114	129	145	162	180	199	-1	-1	-1	-1	
25	31	38	46	55	65	76	88	101	115	130	146	163	181	200	-1	-1	-1	-1	-1	
32	39	47	56	66	77	89	102	116	131	147	164	182	201	-1	-1	-1	-1	-1	-1	
40	48	57	67	78	90	103	117	132	148	165	183	202	-1	-1	-1	-1	-1	-1	-1	
49	58	68	79	91	104	118	133	149	166	184	203	-1	-1	-1	-1	-1	-1	-1	-1	
59	69	80	92	105	119	134	150	167	185	204	-1	-1	-1	-1	-1	-1	-1	-1	-1	
70	81	93	106	120	135	151	168	186	205	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
82	94	107	121	136	152	169	187	206	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
95	108	122	137	153	170	188	207	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
109	123	138	154	171	189	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
124	139	155	172	190	209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
140	156	173	191	210	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
157	174	192	211	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
175	193	212	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
194	213	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
214	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
